lambda_cate,AUC,AUC_Std,PEHE,PEHE_Std,Delta CATE,Delta_CATE_Std
0.0,0.7872616323417239,0.0057456871350927315,0.1283239,0.0049911393,0.0645715,0.018261315
0.5,0.7865751334858887,0.005766913248340425,0.12184201,0.0053890045,0.121320784,0.014853664
1.0,0.7865751334858887,0.005608352843524547,0.11890428,0.0033273024,0.14678018,0.010280028
2.0,0.7868039664378338,0.004996040547311302,0.11788819,0.003978105,0.17206067,0.011274231
5.0,0.7921434019832189,0.005201442294807692,0.112043716,0.002944291,0.19746168,0.012108946
