Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[w/o HGNN] Val@Ep32 | score=1.4221 AUC=0.7187 Acc=0.7873 F1=0.5013 PEHE=0.1288 dCATE=0.2081 Sens=0.1096 thr=0.23 feasible=0
[w/o HGNN] Epoch 35/45 | loss_total=0.9288 recon=0.0203 hsic=0.0225 pred=0.2201
[w/o HGNN] Val@Ep36 | score=2.1859 AUC=0.6849 Acc=0.7806 F1=0.4690 PEHE=0.1241 dCATE=0.2078 Sens=0.0905 thr=0.16 feasible=0
[w/o HGNN] Val@Ep40 | score=-1.0151 AUC=0.6886 Acc=0.7929 F1=0.4804 PEHE=0.1418 dCATE=0.1686 Sens=0.1162 thr=0.24 feasible=0
[w/o HGNN] Epoch 40/45 | loss_total=0.8884 recon=0.0188 hsic=0.0227 pred=0.2088
[w/o HGNN] Val@Ep44 | score=-1.5173 AUC=0.6648 Acc=0.8118 F1=0.4566 PEHE=0.1447 dCATE=0.2229 Sens=0.1139 thr=0.37 feasible=0
[w/o HGNN] Epoch 45/45 | loss_total=0.8083 recon=0.0168 hsic=0.0225 pred=0.1897
[w/o HGNN] Restored best checkpoint at epoch 12 (score=1003.3878, thr=0.42)
[w/o VAE] Epoch 5/45 | loss_total=1.4619 recon=0.0433 hsic=0.0239 pred=0.3481
[w/o VAE] Val@Ep8 | score=1003.3873 AUC=0.7966 Acc=0.8396 F1=0.5789 PEHE=0.0633 dCATE=0.1163 Sens=0.0078 thr=0.32 feasible=1
[w/o VAE] Epoch 10/45 | loss_total=1.4075 recon=0.0159 hsic=0.0231 pred=0.3446
[w/o VAE] Val@Ep12 | score=1003.4160 AUC=0.7963 Acc=0.8486 F1=0.5776 PEHE=0.0650 dCATE=0.1392 Sens=0.0087 thr=0.31 feasible=1
[w/o VAE] Epoch 15/45 | loss_total=1.3931 recon=0.0119 hsic=0.0221 pred=0.3431
[w/o VAE] Val@Ep16 | score=1003.4040 AUC=0.7969 Acc=0.8363 F1=0.5788 PEHE=0.0478 dCATE=0.1339 Sens=0.0111 thr=0.25 feasible=1
