Script started...

[Seed 42] Loading data...
Training w/o HGNN teacher for distillation (Seed 42)
[w/o HGNN (Teacher)] Epoch 5/45 | loss_total=1.5824 recon=0.2293 hsic=0.0162 pred=0.3371 distill=0.0000
[Full DLC (SOTA)] Val@Ep44 | score=1003.3726 AUC=0.7923 Acc=0.7962 F1=0.5526 PEHE=0.0209 dCATE=0.1660 Sens=0.0455 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 45/65 | loss_total=2.0087 recon=0.0089 hsic=0.0212 pred=0.3048 distill=0.3576
[Full DLC (SOTA)] Val@Ep48 | score=1003.3302 AUC=0.7897 Acc=0.7918 F1=0.5383 PEHE=0.0222 dCATE=0.1491 Sens=0.0433 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 50/65 | loss_total=1.9875 recon=0.0087 hsic=0.0210 pred=0.3013 distill=0.3603
[Full DLC (SOTA)] Val@Ep52 | score=1003.3594 AUC=0.7907 Acc=0.8129 F1=0.5359 PEHE=0.0238 dCATE=0.1390 Sens=0.0452 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 55/65 | loss_total=1.9708 recon=0.0086 hsic=0.0208 pred=0.2981 distill=0.3629
[Full DLC (SOTA)] Val@Ep56 | score=1003.3444 AUC=0.7902 Acc=0.8085 F1=0.5326 PEHE=0.0226 dCATE=0.1346 Sens=0.0442 thr=0.15 feasible=1
[Full DLC (SOTA)] Val@Ep60 | score=1003.3416 AUC=0.7889 Acc=0.8096 F1=0.5341 PEHE=0.0249 dCATE=0.1353 Sens=0.0487 thr=0.15 feasible=1
[Full DLC (SOTA)] Epoch 60/65 | loss_total=1.9768 recon=0.0085 hsic=0.0208 pred=0.2986 distill=0.3659
[Full DLC (SOTA)] Val@Ep64 | score=1003.3347 AUC=0.7887 Acc=0.8007 F1=0.5302 PEHE=0.0210 dCATE=0.1567 Sens=0.0514 thr=0.15 feasible=1
[Full DLC (SOTA)] Early stop at epoch 64 (best_epoch=16, best_score=1003.5081)
[Full DLC (SOTA)] Restored best checkpoint at epoch 16 (score=1003.5081, thr=0.23)
[w/o VAE] Epoch 5/45 | loss_total=1.4619 recon=0.0433 hsic=0.0239 pred=0.3481 distill=0.0000
[w/o VAE] Val@Ep8 | score=1003.4595 AUC=0.7966 Acc=0.8396 F1=0.5789 PEHE=0.0633 dCATE=0.1163 Sens=0.0078 thr=0.32 feasible=1
[w/o VAE] Epoch 10/45 | loss_total=1.4075 recon=0.0159 hsic=0.0231 pred=0.3446 distill=0.0000
[w/o VAE] Val@Ep12 | score=1003.4886 AUC=0.7963 Acc=0.8486 F1=0.5776 PEHE=0.0650 dCATE=0.1392 Sens=0.0087 thr=0.31 feasible=1
[w/o VAE] Epoch 15/45 | loss_total=1.3931 recon=0.0119 hsic=0.0221 pred=0.3431 distill=0.0000
[w/o VAE] Val@Ep16 | score=1003.4758 AUC=0.7969 Acc=0.8363 F1=0.5788 PEHE=0.0478 dCATE=0.1339 Sens=0.0111 thr=0.25 feasible=1
[w/o VAE] Val@Ep20 | score=1003.4866 AUC=0.7955 Acc=0.8396 F1=0.5765 PEHE=0.0448 dCATE=0.1502 Sens=0.0168 thr=0.32 feasible=1
[w/o VAE] Epoch 20/45 | loss_total=1.3556 recon=0.0106 hsic=0.0220 pred=0.3341 distill=0.0000
[w/o VAE] Val@Ep24 | score=1003.4782 AUC=0.7947 Acc=0.8352 F1=0.5723 PEHE=0.0504 dCATE=0.1649 Sens=0.0150 thr=0.28 feasible=1
[w/o VAE] Epoch 25/45 | loss_total=1.3311 recon=0.0079 hsic=0.0214 pred=0.3286 distill=0.0000
[w/o VAE] Val@Ep28 | score=1003.4369 AUC=0.7935 Acc=0.8252 F1=0.5651 PEHE=0.0551 dCATE=0.1621 Sens=0.0204 thr=0.22 feasible=1
[w/o VAE] Epoch 30/45 | loss_total=1.3046 recon=0.0078 hsic=0.0215 pred=0.3219 distill=0.0000
[w/o VAE] Val@Ep32 | score=1003.4387 AUC=0.7936 Acc=0.8252 F1=0.5602 PEHE=0.0516 dCATE=0.1750 Sens=0.0250 thr=0.25 feasible=1
[w/o VAE] Epoch 35/45 | loss_total=1.2798 recon=0.0077 hsic=0.0211 pred=0.3163 distill=0.0000
