Imports completed. Initializing device...
Device used: cuda
============================================================
Lambda CATE密集扫描 (基于最终PARAMS)
============================================================

>>> lambda_cate = 0
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6477
    [Fine-tune Seed=42] Ep 80/100 Loss=1.5614
    [Fine-tune Seed=42] Ep 100/100 Loss=1.5994
  Seed 42: AUC=0.7937, CATE=0.1570, PEHE=0.1222
    [Pre-train Seed=43] Ep 50/200 Loss=1.5090
    [Pre-train Seed=43] Ep 100/200 Loss=1.4180
    [Pre-train Seed=43] Ep 150/200 Loss=1.4016
    [Pre-train Seed=43] Ep 200/200 Loss=1.3839
    [Fine-tune Seed=43] Ep 20/100 Loss=1.7473
    [Fine-tune Seed=43] Ep 40/100 Loss=1.7235
    [Fine-tune Seed=43] Ep 60/100 Loss=1.6882
    [Fine-tune Seed=43] Ep 80/100 Loss=1.5709
    [Fine-tune Seed=43] Ep 100/100 Loss=1.6427
  Seed 43: AUC=0.7864, CATE=0.1423, PEHE=0.1184
    [Pre-train Seed=44] Ep 50/200 Loss=1.5016
    [Pre-train Seed=44] Ep 100/200 Loss=1.4204
    [Pre-train Seed=44] Ep 150/200 Loss=1.4046
    [Pre-train Seed=44] Ep 200/200 Loss=1.3898
    [Fine-tune Seed=44] Ep 20/100 Loss=1.8213
    [Fine-tune Seed=44] Ep 40/100 Loss=1.7248
    [Fine-tune Seed=44] Ep 60/100 Loss=1.7244
    [Fine-tune Seed=44] Ep 80/100 Loss=1.6088
    [Fine-tune Seed=44] Ep 100/100 Loss=1.7120
  Seed 44: AUC=0.7860, CATE=0.1732, PEHE=0.1207
  平均: AUC=0.7887±0.0043, CATE=0.1575±0.0155

>>> lambda_cate = 2.0
    [Pre-train Seed=42] Ep 50/200 Loss=1.5319
    [Pre-train Seed=42] Ep 100/200 Loss=1.4192
    [Pre-train Seed=42] Ep 150/200 Loss=1.4019
    [Pre-train Seed=42] Ep 200/200 Loss=1.3843
    [Fine-tune Seed=42] Ep 20/100 Loss=1.7657
    [Fine-tune Seed=42] Ep 40/100 Loss=1.6079
    [Fine-tune Seed=42] Ep 60/100 Loss=1.6499
