Script started...

[Seed 42] Loading data...
Training w/o HGNN teacher for distillation (Seed 42)
[w/o HSIC (Teacher)] Val@Ep44 | score=1003.7220 AUC=0.7898 Acc=0.8241 F1=0.5611 PEHE=0.0403 dCATE=0.1702 Sens=0.0444 thr=0.24 feasible=1
[w/o HSIC (Teacher)] Epoch 45/45 | loss_total=1.2613 recon=0.0072 hsic=0.0191 pred=0.3119 distill=0.0000
[w/o HSIC (Teacher)] Restored best checkpoint at epoch 12 (score=1003.7951, thr=0.32)
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Epoch 5/65 | loss_total=2.5417 recon=0.0592 hsic=0.0211 pred=0.3442 distill=0.3628
[Full DLC (SOTA)] Val@Ep8 | score=1.3711 AUC=0.7990 Acc=0.8385 F1=0.5797 PEHE=0.0391 dCATE=0.0867 Sens=0.0097 thr=0.31 feasible=0
[Full DLC (SOTA)] Epoch 10/65 | loss_total=2.4438 recon=0.0224 hsic=0.0210 pred=0.3418 distill=0.3621
[Full DLC (SOTA)] Val@Ep12 | score=1003.7770 AUC=0.7960 Acc=0.8296 F1=0.5785 PEHE=0.0334 dCATE=0.1344 Sens=0.0130 thr=0.26 feasible=1
[Full DLC (SOTA)] Epoch 15/65 | loss_total=2.4048 recon=0.0164 hsic=0.0209 pred=0.3401 distill=0.3610
[Full DLC (SOTA)] Val@Ep16 | score=1003.8038 AUC=0.7970 Acc=0.8318 F1=0.5817 PEHE=0.0215 dCATE=0.1437 Sens=0.0136 thr=0.23 feasible=1
[Full DLC (SOTA)] Val@Ep20 | score=1003.7770 AUC=0.7935 Acc=0.8274 F1=0.5753 PEHE=0.0227 dCATE=0.1445 Sens=0.0169 thr=0.24 feasible=1
[Full DLC (SOTA)] Epoch 20/65 | loss_total=2.3517 recon=0.0152 hsic=0.0212 pred=0.3322 distill=0.3599
[Full DLC (SOTA)] Val@Ep24 | score=1003.7709 AUC=0.7941 Acc=0.8241 F1=0.5730 PEHE=0.0243 dCATE=0.1555 Sens=0.0194 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 25/65 | loss_total=2.3048 recon=0.0131 hsic=0.0212 pred=0.3254 distill=0.3607
[Full DLC (SOTA)] Val@Ep28 | score=1003.7940 AUC=0.7978 Acc=0.8330 F1=0.5690 PEHE=0.0302 dCATE=0.1793 Sens=0.0271 thr=0.27 feasible=1
[Full DLC (SOTA)] Epoch 30/65 | loss_total=2.2684 recon=0.0121 hsic=0.0212 pred=0.3193 distill=0.3646
[Full DLC (SOTA)] Val@Ep32 | score=1003.7755 AUC=0.7970 Acc=0.8263 F1=0.5691 PEHE=0.0232 dCATE=0.1659 Sens=0.0274 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 35/65 | loss_total=2.2419 recon=0.0113 hsic=0.0210 pred=0.3152 distill=0.3673
[Full DLC (SOTA)] Val@Ep36 | score=1003.7417 AUC=0.7939 Acc=0.8207 F1=0.5565 PEHE=0.0244 dCATE=0.1760 Sens=0.0343 thr=0.23 feasible=1
[Full DLC (SOTA)] Val@Ep40 | score=1003.7545 AUC=0.7934 Acc=0.8463 F1=0.5577 PEHE=0.0321 dCATE=0.1187 Sens=0.0346 thr=0.31 feasible=1
[Full DLC (SOTA)] Epoch 40/65 | loss_total=2.2045 recon=0.0105 hsic=0.0206 pred=0.3093 distill=0.3713
[Full DLC (SOTA)] Val@Ep44 | score=1003.6831 AUC=0.7939 Acc=0.8040 F1=0.5464 PEHE=0.0206 dCATE=0.1652 Sens=0.0401 thr=0.16 feasible=1
[Full DLC (SOTA)] Epoch 45/65 | loss_total=2.1723 recon=0.0092 hsic=0.0208 pred=0.3043 distill=0.3736
[Full DLC (SOTA)] Val@Ep48 | score=1003.6965 AUC=0.7925 Acc=0.8151 F1=0.5489 PEHE=0.0213 dCATE=0.1451 Sens=0.0385 thr=0.17 feasible=1
[Full DLC (SOTA)] Epoch 50/65 | loss_total=2.1501 recon=0.0089 hsic=0.0206 pred=0.3005 distill=0.3783
[Full DLC (SOTA)] Val@Ep52 | score=1003.7330 AUC=0.7921 Acc=0.8374 F1=0.5494 PEHE=0.0246 dCATE=0.1326 Sens=0.0402 thr=0.23 feasible=1
[Full DLC (SOTA)] Epoch 55/65 | loss_total=2.1322 recon=0.0087 hsic=0.0205 pred=0.2975 distill=0.3808
[Full DLC (SOTA)] Val@Ep56 | score=1003.7040 AUC=0.7919 Acc=0.8307 F1=0.5366 PEHE=0.0219 dCATE=0.1322 Sens=0.0396 thr=0.21 feasible=1
