=== DLC Final SOTA Runs (Phase 3) ===
[Config] tag=s_seed_44 d_hidden=128 num_layers=3 lambda_hsic=0.1 lambda_pred=3.5 lambda_ite=1.0 lambda_cate=2.0 lambda_prob=1.0 lambda_adv=0.5 lambda_sens=0.0 sens_eps_scale=0.0
[Seed] 44
Loading data...
Applying blacklist from data/PANCAN/pancan_leakage_blacklist.csv...
Filtered 513 leaked samples. Current: 8567
Aligning PANCAN features to LUAD feature space...
PANCAN aligned shape: (8567, 25)
PANCAN: (8567, 23), LUAD: (513, 23)
Scaler vars: min=0.030960266788788313, max=214.61184717252607

[Phase 1] Pre-training on PANCAN (200 epochs)...
  Ep 180: Loss 1.7605
  Ep 181: Loss 1.7532
  Ep 182: Loss 1.7594
  Ep 183: Loss 1.7532
  Ep 184: Loss 1.7487
  Ep 185: Loss 1.7488
  Ep 186: Loss 1.7489
  Ep 187: Loss 1.7499
  Ep 188: Loss 1.7540
  Ep 189: Loss 1.7490
  Ep 190: Loss 1.7509
  Ep 191: Loss 1.7510
  Ep 192: Loss 1.7505
  Ep 193: Loss 1.7550
  Ep 194: Loss 1.7522
  Ep 195: Loss 1.7514
  Ep 196: Loss 1.7522
  Ep 197: Loss 1.7511
  Ep 198: Loss 1.7506
  Ep 199: Loss 1.7494
  Ep 200: Loss 1.7503

[Phase 2] Fine-tuning on LUAD (100 epochs)...
  Ep 1: Loss 2.0861 | AUC 0.8074 | CATE 0.1016 | PEHE 0.0689 | Sens 0.0006
  Ep 2: Loss 2.2429 | AUC 0.8089 | CATE 0.0941 | PEHE 0.0626 | Sens 0.0006
  Ep 3: Loss 2.0493 | AUC 0.8085 | CATE 0.0892 | PEHE 0.0606 | Sens 0.0006
  Ep 4: Loss 2.3634 | AUC 0.8078 | CATE 0.0841 | PEHE 0.0604 | Sens 0.0006
  Ep 5: Loss 1.9917 | AUC 0.8089 | CATE 0.0798 | PEHE 0.0615 | Sens 0.0006
  Ep 6: Loss 2.1237 | AUC 0.8101 | CATE 0.0755 | PEHE 0.0635 | Sens 0.0006
  Ep 7: Loss 2.0955 | AUC 0.8097 | CATE 0.0723 | PEHE 0.0660 | Sens 0.0005
  Ep 8: Loss 2.0551 | AUC 0.8101 | CATE 0.0698 | PEHE 0.0676 | Sens 0.0005
  Ep 9: Loss 2.2484 | AUC 0.8116 | CATE 0.0690 | PEHE 0.0684 | Sens 0.0005
  Ep 10: Loss 2.1714 | AUC 0.8127 | CATE 0.0679 | PEHE 0.0693 | Sens 0.0005
  Ep 11: Loss 2.1009 | AUC 0.8124 | CATE 0.0670 | PEHE 0.0700 | Sens 0.0005
  Ep 12: Loss 2.0860 | AUC 0.8120 | CATE 0.0659 | PEHE 0.0700 | Sens 0.0005
  Ep 13: Loss 2.0746 | AUC 0.8116 | CATE 0.0639 | PEHE 0.0701 | Sens 0.0005
  Ep 14: Loss 2.0325 | AUC 0.8116 | CATE 0.0620 | PEHE 0.0698 | Sens 0.0005
  Ep 15: Loss 2.0986 | AUC 0.8124 | CATE 0.0594 | PEHE 0.0704 | Sens 0.0005
  Ep 16: Loss 2.0277 | AUC 0.8124 | CATE 0.0579 | PEHE 0.0701 | Sens 0.0005
  Ep 17: Loss 2.0969 | AUC 0.8124 | CATE 0.0569 | PEHE 0.0690 | Sens 0.0005
  Ep 18: Loss 2.1230 | AUC 0.8127 | CATE 0.0560 | PEHE 0.0682 | Sens 0.0005
  Ep 19: Loss 2.1178 | AUC 0.8127 | CATE 0.0547 | PEHE 0.0679 | Sens 0.0005
  Ep 20: Loss 2.0393 | AUC 0.8127 | CATE 0.0533 | PEHE 0.0679 | Sens 0.0005
  Ep 21: Loss 2.0980 | AUC 0.8108 | CATE 0.0530 | PEHE 0.0667 | Sens 0.0005
  Ep 22: Loss 2.1307 | AUC 0.8101 | CATE 0.0531 | PEHE 0.0656 | Sens 0.0005
  Ep 23: Loss 2.0154 | AUC 0.8097 | CATE 0.0536 | PEHE 0.0650 | Sens 0.0005
  Ep 24: Loss 2.1984 | AUC 0.8101 | CATE 0.0542 | PEHE 0.0643 | Sens 0.0005
  Ep 25: Loss 2.0737 | AUC 0.8097 | CATE 0.0547 | PEHE 0.0638 | Sens 0.0005
  Ep 26: Loss 2.2313 | AUC 0.8097 | CATE 0.0550 | PEHE 0.0634 | Sens 0.0005
  Ep 27: Loss 2.0989 | AUC 0.8085 | CATE 0.0560 | PEHE 0.0625 | Sens 0.0005
  Ep 28: Loss 2.0507 | AUC 0.8089 | CATE 0.0568 | PEHE 0.0622 | Sens 0.0005
  Ep 29: Loss 2.1050 | AUC 0.8093 | CATE 0.0576 | PEHE 0.0621 | Sens 0.0005
  Ep 30: Loss 2.1048 | AUC 0.8101 | CATE 0.0586 | PEHE 0.0621 | Sens 0.0005
  Ep 31: Loss 2.0435 | AUC 0.8101 | CATE 0.0596 | PEHE 0.0619 | Sens 0.0005
  Ep 32: Loss 2.1159 | AUC 0.8101 | CATE 0.0603 | PEHE 0.0618 | Sens 0.0005
  Ep 33: Loss 2.1822 | AUC 0.8105 | CATE 0.0609 | PEHE 0.0611 | Sens 0.0005
  Ep 34: Loss 2.0584 | AUC 0.8108 | CATE 0.0607 | PEHE 0.0610 | Sens 0.0005
  Ep 35: Loss 2.0148 | AUC 0.8108 | CATE 0.0602 | PEHE 0.0614 | Sens 0.0005
  Ep 36: Loss 2.1546 | AUC 0.8108 | CATE 0.0601 | PEHE 0.0616 | Sens 0.0005
  Ep 37: Loss 2.0001 | AUC 0.8108 | CATE 0.0594 | PEHE 0.0621 | Sens 0.0005
  Ep 38: Loss 2.0020 | AUC 0.8101 | CATE 0.0586 | PEHE 0.0629 | Sens 0.0005
  Ep 39: Loss 2.0882 | AUC 0.8105 | CATE 0.0581 | PEHE 0.0637 | Sens 0.0005
  Ep 40: Loss 2.1319 | AUC 0.8108 | CATE 0.0588 | PEHE 0.0639 | Sens 0.0005
  Ep 41: Loss 2.2306 | AUC 0.8112 | CATE 0.0592 | PEHE 0.0639 | Sens 0.0005
