Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[Full DLC (SOTA)] Restored best checkpoint at epoch 20 (score=1002.1984, thr=0.29, alpha=0.35)
[w/o HGNN] Epoch 5/80 | loss_total=0.1347 recon=0.1068 hsic=0.0203 pred=0.5342 distill=0.0000 aux=0.0000
[w/o HGNN] Epoch 10/80 | loss_total=0.0407 recon=0.0209 hsic=0.0218 pred=0.3708 distill=0.0000 aux=0.0000
[w/o HGNN] Epoch 15/80 | loss_total=0.0329 recon=0.0115 hsic=0.0215 pred=0.3601 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep20 | score=1002.1779 AUC=0.7948 Acc=0.8441 F1=0.5706 PEHE=0.0116 dCATE=0.1801 Sens=0.1163 thr=0.38 feasible=1
[w/o HGNN] Epoch 20/80 | loss_total=0.0260 recon=0.0072 hsic=0.0214 pred=0.3562 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep25 | score=1002.1601 AUC=0.7937 Acc=0.8296 F1=0.5808 PEHE=0.0241 dCATE=0.1668 Sens=0.1041 thr=0.29 feasible=1
[w/o HGNN] Epoch 25/80 | loss_total=0.5867 recon=0.0059 hsic=0.0210 pred=0.3389 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep30 | score=1002.1729 AUC=0.7950 Acc=0.8274 F1=0.5730 PEHE=0.0288 dCATE=0.1831 Sens=0.0930 thr=0.28 feasible=1
[w/o HGNN] Epoch 30/80 | loss_total=1.1183 recon=0.0066 hsic=0.0211 pred=0.3291 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep35 | score=1002.1056 AUC=0.7899 Acc=0.8163 F1=0.5576 PEHE=0.0339 dCATE=0.1662 Sens=0.1015 thr=0.20 feasible=1
[w/o HGNN] Epoch 35/80 | loss_total=1.6143 recon=0.0074 hsic=0.0207 pred=0.3180 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep40 | score=1002.1041 AUC=0.7820 Acc=0.8330 F1=0.5370 PEHE=0.0413 dCATE=0.1951 Sens=0.1017 thr=0.37 feasible=1
[w/o HGNN] Epoch 40/80 | loss_total=2.0629 recon=0.0075 hsic=0.0203 pred=0.3047 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep45 | score=1002.0444 AUC=0.7618 Acc=0.8285 F1=0.5217 PEHE=0.0452 dCATE=0.1964 Sens=0.1124 thr=0.25 feasible=1
[w/o HGNN] Epoch 45/80 | loss_total=2.4311 recon=0.0064 hsic=0.0201 pred=0.2872 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep50 | score=1002.0540 AUC=0.7593 Acc=0.8408 F1=0.5311 PEHE=0.0525 dCATE=0.1953 Sens=0.1099 thr=0.34 feasible=1
[w/o HGNN] Epoch 50/80 | loss_total=2.7828 recon=0.0064 hsic=0.0201 pred=0.2737 distill=0.0000 aux=0.0000
[w/o HGNN] Val@Ep55 | score=1001.9869 AUC=0.7523 Acc=0.8151 F1=0.5146 PEHE=0.0596 dCATE=0.1993 Sens=0.1208 thr=0.30 feasible=1
[w/o HGNN] Epoch 55/80 | loss_total=2.6871 recon=0.0063 hsic=0.0199 pred=0.2632 distill=0.0000 aux=0.0000
