Script started...

[Seed 42] Loading data...
Training Full DLC (SOTA) from scratch (Seed 42)
[w/o VAE] Epoch 5/80 | loss_total=0.0815 recon=0.0324 hsic=0.0228 pred=0.4167 distill=0.0000 aux=0.0000
[w/o VAE] Epoch 10/80 | loss_total=0.0537 recon=0.0129 hsic=0.0228 pred=0.4134 distill=0.0000 aux=0.0000
[w/o VAE] Epoch 15/80 | loss_total=0.0444 recon=0.0082 hsic=0.0225 pred=0.3900 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep20 | score=1002.2426 AUC=0.7947 Acc=0.8196 F1=0.5449 PEHE=0.0114 dCATE=0.1766 Sens=0.0178 thr=0.28 feasible=1
[w/o VAE] Epoch 20/80 | loss_total=0.0427 recon=0.0067 hsic=0.0220 pred=0.3763 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep25 | score=1002.2723 AUC=0.7971 Acc=0.8363 F1=0.5532 PEHE=0.0059 dCATE=0.1700 Sens=0.0157 thr=0.28 feasible=1
[w/o VAE] Epoch 25/80 | loss_total=0.0369 recon=0.0043 hsic=0.0215 pred=0.3684 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep30 | score=1002.2807 AUC=0.7970 Acc=0.8296 F1=0.5591 PEHE=0.0059 dCATE=0.1748 Sens=0.0141 thr=0.25 feasible=1
[w/o VAE] Epoch 30/80 | loss_total=0.0363 recon=0.0039 hsic=0.0213 pred=0.3581 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep35 | score=1002.3104 AUC=0.7981 Acc=0.8486 F1=0.5723 PEHE=0.0040 dCATE=0.1685 Sens=0.0132 thr=0.35 feasible=1
[w/o VAE] Epoch 35/80 | loss_total=0.0338 recon=0.0034 hsic=0.0210 pred=0.3513 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep40 | score=1002.2982 AUC=0.7985 Acc=0.8396 F1=0.5663 PEHE=0.0079 dCATE=0.1740 Sens=0.0115 thr=0.32 feasible=1
[w/o VAE] Epoch 40/80 | loss_total=0.0336 recon=0.0031 hsic=0.0206 pred=0.3469 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep45 | score=1002.3047 AUC=0.7988 Acc=0.8452 F1=0.5643 PEHE=0.0051 dCATE=0.1731 Sens=0.0107 thr=0.34 feasible=1
[w/o VAE] Epoch 45/80 | loss_total=0.0327 recon=0.0024 hsic=0.0205 pred=0.3460 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep50 | score=1002.3076 AUC=0.7995 Acc=0.8352 F1=0.5723 PEHE=0.0040 dCATE=0.1721 Sens=0.0108 thr=0.27 feasible=1
[w/o VAE] Epoch 50/80 | loss_total=0.0322 recon=0.0024 hsic=0.0202 pred=0.3462 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep55 | score=1002.3052 AUC=0.7995 Acc=0.8330 F1=0.5690 PEHE=0.0036 dCATE=0.1743 Sens=0.0103 thr=0.27 feasible=1
[w/o VAE] Epoch 55/80 | loss_total=0.0320 recon=0.0022 hsic=0.0200 pred=0.3451 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep60 | score=1002.3169 AUC=0.7986 Acc=0.8563 F1=0.5686 PEHE=0.0067 dCATE=0.1730 Sens=0.0100 thr=0.37 feasible=1
[w/o VAE] Epoch 60/80 | loss_total=0.0327 recon=0.0022 hsic=0.0199 pred=0.3471 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep65 | score=1002.3148 AUC=0.7993 Acc=0.8497 F1=0.5687 PEHE=0.0033 dCATE=0.1703 Sens=0.0100 thr=0.36 feasible=1
[w/o VAE] Epoch 65/80 | loss_total=0.0314 recon=0.0018 hsic=0.0196 pred=0.3464 distill=0.0000 aux=0.0000
[w/o VAE] Val@Ep70 | score=1002.3195 AUC=0.7996 Acc=0.8508 F1=0.5705 PEHE=0.0030 dCATE=0.1712 Sens=0.0100 thr=0.37 feasible=1
