=== DLC Final SOTA Runs (Phase 3) ===
[Config] tag=q_seed_44 d_hidden=128 num_layers=3 lambda_hsic=0.1 lambda_pred=5.0 lambda_ite=1.0 lambda_cate=1.2 lambda_prob=0.8 lambda_adv=0.5 lambda_sens=0.0 sens_eps_scale=0.0
[Seed] 44
Loading data...
Applying blacklist from data/PANCAN/pancan_leakage_blacklist.csv...
Filtered 513 leaked samples. Current: 8567
Aligning PANCAN features to LUAD feature space...
PANCAN aligned shape: (8567, 25)
PANCAN: (8567, 23), LUAD: (513, 23)
Scaler vars: min=0.030960266788788313, max=214.61184717252607

[Phase 1] Pre-training on PANCAN (150 epochs)...
  Ep 8: Loss 2.7603 | AUC 0.8097 | CATE -0.0114 | PEHE 0.0755 | Sens 0.0003
  Ep 9: Loss 2.9383 | AUC 0.8093 | CATE -0.0126 | PEHE 0.0764 | Sens 0.0003
  Ep 10: Loss 2.7284 | AUC 0.8093 | CATE -0.0134 | PEHE 0.0773 | Sens 0.0003
  Ep 11: Loss 2.6438 | AUC 0.8093 | CATE -0.0135 | PEHE 0.0779 | Sens 0.0003
  Ep 12: Loss 2.8131 | AUC 0.8093 | CATE -0.0129 | PEHE 0.0783 | Sens 0.0003
  Ep 13: Loss 2.8249 | AUC 0.8097 | CATE -0.0129 | PEHE 0.0791 | Sens 0.0003
  Ep 14: Loss 2.6702 | AUC 0.8097 | CATE -0.0119 | PEHE 0.0794 | Sens 0.0003
  Ep 15: Loss 2.6022 | AUC 0.8108 | CATE -0.0116 | PEHE 0.0803 | Sens 0.0003
  Ep 16: Loss 2.7434 | AUC 0.8108 | CATE -0.0113 | PEHE 0.0804 | Sens 0.0003
  Ep 17: Loss 2.8305 | AUC 0.8105 | CATE -0.0117 | PEHE 0.0805 | Sens 0.0003
  Ep 18: Loss 2.8189 | AUC 0.8101 | CATE -0.0117 | PEHE 0.0800 | Sens 0.0003
  Ep 19: Loss 2.6136 | AUC 0.8097 | CATE -0.0122 | PEHE 0.0796 | Sens 0.0003
  Ep 20: Loss 2.6898 | AUC 0.8089 | CATE -0.0134 | PEHE 0.0799 | Sens 0.0003
  Ep 21: Loss 2.7216 | AUC 0.8089 | CATE -0.0136 | PEHE 0.0800 | Sens 0.0003
  Ep 22: Loss 2.5826 | AUC 0.8093 | CATE -0.0128 | PEHE 0.0798 | Sens 0.0003
  Ep 23: Loss 2.6835 | AUC 0.8093 | CATE -0.0116 | PEHE 0.0789 | Sens 0.0003
  Ep 24: Loss 2.7237 | AUC 0.8089 | CATE -0.0107 | PEHE 0.0783 | Sens 0.0003
  Ep 25: Loss 2.8711 | AUC 0.8093 | CATE -0.0107 | PEHE 0.0780 | Sens 0.0003
  Ep 26: Loss 2.6333 | AUC 0.8085 | CATE -0.0101 | PEHE 0.0772 | Sens 0.0003
  Ep 27: Loss 2.6695 | AUC 0.8082 | CATE -0.0102 | PEHE 0.0770 | Sens 0.0003
  Ep 28: Loss 2.5350 | AUC 0.8085 | CATE -0.0103 | PEHE 0.0770 | Sens 0.0003
  Ep 29: Loss 2.6824 | AUC 0.8085 | CATE -0.0101 | PEHE 0.0770 | Sens 0.0003
  Ep 30: Loss 2.5959 | AUC 0.8085 | CATE -0.0099 | PEHE 0.0771 | Sens 0.0003
  Ep 31: Loss 2.8627 | AUC 0.8082 | CATE -0.0103 | PEHE 0.0772 | Sens 0.0003
  Ep 32: Loss 2.8377 | AUC 0.8082 | CATE -0.0098 | PEHE 0.0770 | Sens 0.0003
  Ep 33: Loss 2.5461 | AUC 0.8082 | CATE -0.0098 | PEHE 0.0768 | Sens 0.0003
  Ep 34: Loss 2.8105 | AUC 0.8082 | CATE -0.0095 | PEHE 0.0766 | Sens 0.0003
  Ep 35: Loss 2.6528 | AUC 0.8093 | CATE -0.0085 | PEHE 0.0763 | Sens 0.0003
  Ep 36: Loss 2.7921 | AUC 0.8097 | CATE -0.0077 | PEHE 0.0761 | Sens 0.0003
  Ep 37: Loss 2.7100 | AUC 0.8097 | CATE -0.0078 | PEHE 0.0765 | Sens 0.0003
  Ep 38: Loss 2.6465 | AUC 0.8093 | CATE -0.0076 | PEHE 0.0766 | Sens 0.0003
  Ep 39: Loss 2.7803 | AUC 0.8097 | CATE -0.0070 | PEHE 0.0769 | Sens 0.0003
  Ep 40: Loss 2.8252 | AUC 0.8093 | CATE -0.0067 | PEHE 0.0771 | Sens 0.0003
  Ep 41: Loss 2.8228 | AUC 0.8085 | CATE -0.0068 | PEHE 0.0771 | Sens 0.0003
  Ep 42: Loss 2.9131 | AUC 0.8078 | CATE -0.0073 | PEHE 0.0774 | Sens 0.0003
  Ep 43: Loss 2.7581 | AUC 0.8078 | CATE -0.0079 | PEHE 0.0771 | Sens 0.0003
  Ep 44: Loss 2.8692 | AUC 0.8078 | CATE -0.0080 | PEHE 0.0769 | Sens 0.0003
  Ep 45: Loss 2.6077 | AUC 0.8085 | CATE -0.0079 | PEHE 0.0763 | Sens 0.0003
  Ep 46: Loss 2.7164 | AUC 0.8085 | CATE -0.0076 | PEHE 0.0764 | Sens 0.0003
  Ep 47: Loss 2.6221 | AUC 0.8085 | CATE -0.0075 | PEHE 0.0767 | Sens 0.0003
  Ep 48: Loss 2.7384 | AUC 0.8085 | CATE -0.0075 | PEHE 0.0767 | Sens 0.0003
  Ep 49: Loss 2.6208 | AUC 0.8085 | CATE -0.0074 | PEHE 0.0770 | Sens 0.0003
  Ep 50: Loss 2.6946 | AUC 0.8082 | CATE -0.0071 | PEHE 0.0772 | Sens 0.0003
  Ep 51: Loss 2.5881 | AUC 0.8082 | CATE -0.0077 | PEHE 0.0775 | Sens 0.0003
  Ep 52: Loss 2.8450 | AUC 0.8085 | CATE -0.0079 | PEHE 0.0781 | Sens 0.0003
  Ep 53: Loss 2.6077 | AUC 0.8085 | CATE -0.0077 | PEHE 0.0783 | Sens 0.0003
  Ep 54: Loss 3.0806 | AUC 0.8085 | CATE -0.0079 | PEHE 0.0785 | Sens 0.0003
  Ep 55: Loss 2.5408 | AUC 0.8082 | CATE -0.0082 | PEHE 0.0786 | Sens 0.0003
  Ep 56: Loss 2.7471 | AUC 0.8082 | CATE -0.0086 | PEHE 0.0788 | Sens 0.0003
  Ep 57: Loss 2.7126 | AUC 0.8074 | CATE -0.0084 | PEHE 0.0789 | Sens 0.0003
  Ep 58: Loss 2.6780 | AUC 0.8074 | CATE -0.0084 | PEHE 0.0786 | Sens 0.0003
  Ep 59: Loss 2.9016 | AUC 0.8078 | CATE -0.0077 | PEHE 0.0784 | Sens 0.0003
  Ep 60: Loss 2.7918 | AUC 0.8078 | CATE -0.0066 | PEHE 0.0782 | Sens 0.0003
  Ep 61: Loss 2.7388 | AUC 0.8078 | CATE -0.0061 | PEHE 0.0784 | Sens 0.0003
  Ep 62: Loss 2.7024 | AUC 0.8078 | CATE -0.0060 | PEHE 0.0781 | Sens 0.0003
  Ep 63: Loss 2.6651 | AUC 0.8074 | CATE -0.0064 | PEHE 0.0778 | Sens 0.0003
  Ep 64: Loss 2.6183 | AUC 0.8074 | CATE -0.0069 | PEHE 0.0774 | Sens 0.0003
  Ep 65: Loss 2.6239 | AUC 0.8078 | CATE -0.0074 | PEHE 0.0773 | Sens 0.0003
  Ep 66: Loss 2.6280 | AUC 0.8074 | CATE -0.0072 | PEHE 0.0771 | Sens 0.0003
  Ep 67: Loss 2.6896 | AUC 0.8085 | CATE -0.0070 | PEHE 0.0766 | Sens 0.0003
  Ep 68: Loss 2.7445 | AUC 0.8085 | CATE -0.0065 | PEHE 0.0762 | Sens 0.0003
  Ep 69: Loss 2.7832 | AUC 0.8089 | CATE -0.0061 | PEHE 0.0759 | Sens 0.0003
  Ep 70: Loss 2.6182 | AUC 0.8089 | CATE -0.0061 | PEHE 0.0758 | Sens 0.0003
  Ep 71: Loss 2.6948 | AUC 0.8089 | CATE -0.0064 | PEHE 0.0757 | Sens 0.0003
  Ep 72: Loss 2.7142 | AUC 0.8085 | CATE -0.0069 | PEHE 0.0759 | Sens 0.0003
  Ep 73: Loss 2.5452 | AUC 0.8085 | CATE -0.0072 | PEHE 0.0762 | Sens 0.0003
  Ep 74: Loss 2.8264 | AUC 0.8082 | CATE -0.0073 | PEHE 0.0764 | Sens 0.0003
  Ep 75: Loss 2.6368 | AUC 0.8082 | CATE -0.0072 | PEHE 0.0767 | Sens 0.0003
  Ep 76: Loss 2.8735 | AUC 0.8074 | CATE -0.0072 | PEHE 0.0768 | Sens 0.0003
  Ep 77: Loss 2.6731 | AUC 0.8082 | CATE -0.0069 | PEHE 0.0764 | Sens 0.0003
  Ep 78: Loss 2.6045 | AUC 0.8082 | CATE -0.0062 | PEHE 0.0764 | Sens 0.0003
  Ep 79: Loss 2.6971 | AUC 0.8078 | CATE -0.0054 | PEHE 0.0766 | Sens 0.0003
  Ep 80: Loss 2.6721 | AUC 0.8089 | CATE -0.0048 | PEHE 0.0768 | Sens 0.0003

=== Final SOTA Results ===
{
    "AUC": 0.8089244851258581,
    "ACC": 0.7572815533980582,
    "F1": 0.6987951807228916,
    "PEHE": 0.07675659725560965,
    "Delta_CATE": -0.004805499687790871,
    "Sens_Age": 0.00031807823688723147
}
Report saved to results/final_sota_report_q_seed_44.md
