type,d_hidden,num_layers,AUC,AUC_Std,ACC,ACC_Std,F1,F1_Std,Sensitivity,Sensitivity_Std,PEHE,PEHE_Std,CATE,CATE_Std,lambda_hsic,lambda_cate
arch,64.0,2.0,0.8187643020594967,0.006406414522836293,0.7165048543689321,0.029061416596302445,0.637948717948718,0.04245969061864022,0.5608695652173913,0.04642207935665789,0.08235864,0.004767367,0.019865941,0.004833459,,
arch,64.0,3.0,0.8173150266971776,0.00570809669988392,0.7262135922330097,0.016703544207849755,0.6534778681120145,0.022401271743946245,0.5782608695652174,0.022169650059099096,0.078861594,0.00921018,0.05352802,0.026993083,,
arch,64.0,4.0,0.8154080854309687,0.0066584753143539635,0.7203883495145631,0.011322236689019995,0.6433286832165088,0.018898673527026337,0.5652173913043478,0.023814024239355074,0.078989,0.0062188264,0.04004931,0.012371408,,
arch,64.0,5.0,0.815026697177727,0.004576659038901583,0.712621359223301,0.014530708298151222,0.6317041725269573,0.020794307944677827,0.5521739130434782,0.022169650059099086,0.083334625,0.009814897,0.035408776,0.021713002,,
arch,128.0,2.0,0.8128146453089246,0.009751613616779202,0.7300970873786408,0.015533980582524264,0.6551023788015659,0.01940153403175495,0.5739130434782609,0.017391304347826125,0.07653717,0.01034988,0.093797036,0.020514738,,
arch,128.0,3.0,0.8105263157894738,0.007765349560716646,0.7242718446601942,0.009901008764257832,0.6501430292080699,0.014918563884064328,0.5739130434782609,0.017391304347826125,0.07718718,0.009674973,0.105990745,0.010318652,,
arch,128.0,4.0,0.8108314263920671,0.009524021473079246,0.7145631067961166,0.007766990291262132,0.6314884698506187,0.011429786596801439,0.5478260869565217,0.0162680755946693,0.0851323,0.019108651,0.10518195,0.012222946,,
arch,128.0,5.0,0.8088482074752097,0.0059837860129535545,0.7203883495145631,0.0038834951456310665,0.6360353066332278,0.013204806186796151,0.5478260869565218,0.025351964760196976,0.08969928,0.022031136,0.10683098,0.017824814,,
arch,256.0,2.0,0.7774218154080854,0.01099986139182936,0.6834951456310681,0.014530708298151222,0.6035610852998049,0.012109067695562189,0.5391304347826086,0.008695652173913038,0.12703583,0.02734623,0.119132444,0.019763308,,
arch,256.0,3.0,0.7651411136536994,0.0109728522308759,0.6796116504854369,0.00868375913592151,0.5925880262465628,0.004943902048862268,0.5217391304347826,0.013749033305079901,0.13102563,0.03174969,0.109310366,0.021696651,,
arch,256.0,4.0,0.7720823798627002,0.007318680589663457,0.6796116504854369,0.006140344971200733,0.5905555555555555,0.0082900108465183,0.5173913043478261,0.008695652173913038,0.1308095,0.017765027,0.10566087,0.03396501,,
arch,256.0,5.0,0.7584286803966438,0.01680810528044028,0.6854368932038836,0.009901008764257832,0.590947755947756,0.008741790711212056,0.5086956521739131,0.010649955403405116,0.114903785,0.015250261,0.111454286,0.036490455,,
hsic,,,0.8106788710907704,0.006302029768340154,0.7203883495145631,0.011322236689019995,0.6398397146364626,0.016468873160560067,0.5565217391304347,0.02216965005909908,0.086581215,0.01916883,0.10538013,0.01462713,0.0,
hsic,,,0.8099923722349353,0.007005096246479889,0.7184466019417476,0.012280689942401467,0.6364446529080675,0.017401971520090907,0.5521739130434782,0.022169650059099086,0.0847556,0.019517725,0.10010904,0.013386421,0.01,
hsic,,,0.8108314263920671,0.009524021473079246,0.7145631067961166,0.007766990291262132,0.6314884698506187,0.011429786596801439,0.5478260869565217,0.0162680755946693,0.0851323,0.019108651,0.10518195,0.012222946,0.1,
hsic,,,0.8090007627765065,0.006447153809035994,0.712621359223301,0.004756290762685781,0.6299938252547083,0.00410230102177681,0.5478260869565217,0.008695652173913038,0.08472593,0.019180885,0.09949009,0.014261509,1.0,
hsic,,,0.8083905415713195,0.007936542014931889,0.712621359223301,0.013169572782767505,0.6355872632354169,0.012922928265224896,0.5608695652173912,0.008695652173913038,0.08574496,0.021243649,0.11033203,0.012183081,10.0,
cate,,,0.8176964149504196,0.0026751606280320563,0.7067961165048544,0.01426887228805734,0.615929967828702,0.013334536819699087,0.5260869565217392,0.008695652173913038,0.1009409,0.0023637312,-0.024775067,0.0034346888,,0.0
cate,,,0.8161708619374523,0.0032181576063659624,0.7067961165048544,0.01426887228805734,0.6197911011495452,0.013034792185794584,0.5347826086956522,0.010649955403405116,0.090586945,0.0015102953,-0.008728245,0.0048091435,,0.5
cate,,,0.8165522501906942,0.004842279251900526,0.7087378640776699,0.01373022876090383,0.628133903133903,0.02560358315776451,0.5521739130434782,0.03532190610711289,0.081689395,0.0046385108,0.029027069,0.022065464,,1.0
cate,,,0.8108314263920671,0.009524021473079246,0.7145631067961166,0.007766990291262132,0.6314884698506187,0.011429786596801439,0.5478260869565217,0.0162680755946693,0.0851323,0.019108651,0.10518195,0.012222946,,2.0
cate,,,0.8048054919908466,0.007583394978878191,0.7106796116504854,0.011322236689019995,0.6391586736674404,0.01515283323063073,0.5739130434782609,0.017391304347826125,0.09531289,0.013027198,0.17214504,0.0067151515,,5.0
