Model,AUC,Acc,F1,PEHE,Delta CATE,Sensitivity,Params,Time (ms)
Full DLC (SOTA),0.8729977116704806,0.7864077669902912,0.7555555555555555,0.038443544606218544,0.13521777,0.005889728,831132,6.030038722510477
w/o HGNN,0.8215102974828375,0.7669902912621359,0.7735849056603774,0.439365325267072,-0.040891767,0.05886818,378188,3.872230214980042
w/o VAE,0.8703279938977879,0.7961165048543689,0.7835051546391752,0.0850179579526099,-0.018972617,0.0057568867,831132,3.980240775543509
w/o HSIC,0.8729977116704806,0.7864077669902912,0.7884615384615384,0.0916731552180446,-0.024369422,0.0054522986,831132,3.9526814395941576
