lambda_cate,AUC,AUC_Std,PEHE,PEHE_Std,Delta CATE,Delta_CATE_Std
0.0,0.8131197559115181,0.00189418566307541,0.07293208,0.0051150285,0.099607386,0.018775934
0.5,0.8119755911517926,0.002802619843001384,0.063799046,0.0033842176,0.14426589,0.014456262
1.0,0.8121027205695398,0.0026484447821001488,0.061926957,0.0031183816,0.1527114,0.012876921
2.0,0.8122298499872871,0.002073418056229321,0.06017117,0.0028793784,0.16217805,0.011887806
5.0,0.8122298499872871,0.0020261095157016267,0.0572755,0.0023765694,0.17664327,0.007940658
