lambda_hsic,AUC,AUC_Std,PEHE,PEHE_Std,Delta CATE,Delta_CATE_Std
0.0,0.8121027205695398,0.002119670989134614,0.06021793,0.0028086423,0.16220237,0.011798775
0.01,0.8121027205695398,0.002119670989134614,0.060147822,0.0028911952,0.16216092,0.011799521
0.1,0.8122298499872871,0.002073418056229321,0.06017117,0.0028793784,0.16217805,0.011887806
1.0,0.8122298499872871,0.002073418056229321,0.06021738,0.002848837,0.16216563,0.011849291
10.0,0.8122298499872871,0.002073418056229321,0.060189366,0.0028833968,0.16219562,0.011770163
